[Wed Feb 24 15:58:17.548849 2016] [:error] [pid 10625] [client 172.16.0.1:32269] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) in /var/www-public/testyii.54mbit.pp.ua/models/RegisterForm.php on line 10, referer: http://testyii.54mbit.pp.ua/pages/index
[Wed Feb 24 16:18:57.263218 2016] [:error] [pid 25380] [client 172.16.0.1:46823] PHP Fatal error:  Cannot use yii\\widgets\\ActiveForm as ActiveForm because the name is already in use in /var/www-public/testyii.54mbit.pp.ua/views/site/register.php on line 9, referer: http://testyii.54mbit.pp.ua/site/register
[Wed Feb 24 16:24:33.659448 2016] [:error] [pid 3293] [client 172.16.0.1:36407] PHP Fatal error:  Class 'app\\controllers\\RegisterForm' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 97, referer: http://testyii.54mbit.pp.ua/site/contact
[Wed Feb 24 16:26:14.628309 2016] [:error] [pid 20029] [client 172.16.0.1:27247] PHP Fatal error:  Cannot use yii\\widgets\\ActiveForm as ActiveForm because the name is already in use in /var/www-public/testyii.54mbit.pp.ua/views/site/register.php on line 9, referer: http://testyii.54mbit.pp.ua/site/contact
[Wed Feb 24 17:05:18.806690 2016] [:error] [pid 3978] [client 172.16.0.1:29344] PHP Fatal error:  Class 'app\\controllers\\RegisterForm' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 97
[Thu Feb 25 11:35:03.026996 2016] [:error] [pid 1848] [client 172.16.0.1:14640] PHP Parse error:  syntax error, unexpected ',', expecting ']' in /var/www-public/testyii.54mbit.pp.ua/models/RegisterForm.php on line 21
[Thu Feb 25 11:48:43.534756 2016] [:error] [pid 8231] [client 172.16.0.1:34453] PHP Fatal error:  Class 'app\\controllers\\Pages' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 101, referer: http://testyii.54mbit.pp.ua/site/register
[Thu Feb 25 11:57:04.690645 2016] [:error] [pid 25529] [client 172.16.0.1:51729] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 103, referer: http://testyii.54mbit.pp.ua/site/register
[Thu Feb 25 11:57:13.003550 2016] [:error] [pid 25532] [client 172.16.0.1:49547] PHP Parse error:  syntax error, unexpected '=>' (T_DOUBLE_ARROW) in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 103, referer: http://testyii.54mbit.pp.ua/site/register
[Thu Feb 25 12:14:36.907500 2016] [:error] [pid 25529] [client 172.16.0.1:63760] PHP Parse error:  syntax error, unexpected '"AXAXSSS"' (T_CONSTANT_ENCAPSED_STRING) in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 103, referer: http://testyii.54mbit.pp.ua/site/register
[Thu Feb 25 12:26:54.640097 2016] [:error] [pid 28176] [client 172.16.0.1:5881] PHP Parse error:  syntax error, unexpected ')', expecting ']' in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 114, referer: http://testyii.54mbit.pp.ua/site/register
[Thu Feb 25 12:37:34.662953 2016] [:error] [pid 25532] [client 172.16.0.1:5868] PHP Parse error:  syntax error, unexpected '}' in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 107, referer: http://testyii.54mbit.pp.ua/site/register
[Thu Feb 25 12:40:24.276145 2016] [:error] [pid 28176] [client 172.16.0.1:46794] PHP Fatal error:  Call to a member function createNew() on null in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 106, referer: http://testyii.54mbit.pp.ua/site/register
[Thu Feb 25 13:51:14.647930 2016] [:error] [pid 29720] [client 172.16.0.1:13052] PHP Parse error:  syntax error, unexpected ')', expecting ']' in /var/www-public/testyii.54mbit.pp.ua/views/layouts/main.php on line 45, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 13:53:16.196025 2016] [:error] [pid 19831] [client 172.16.0.1:39352] PHP Parse error:  syntax error, unexpected ',' in /var/www-public/testyii.54mbit.pp.ua/views/layouts/main.php on line 43, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 13:58:03.664282 2016] [:error] [pid 30188] [client 172.16.0.1:63122] PHP Fatal error:  Call to a member function onclick() on string in /var/www-public/testyii.54mbit.pp.ua/views/site/login.php on line 37, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:15:15.948431 2016] [:error] [pid 10019] [client 172.16.0.1:28972] PHP Parse error:  syntax error, unexpected '$identity' (T_VARIABLE), expecting '(' in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 61, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:29:06.340204 2016] [:error] [pid 26955] [client 172.16.0.1:9884] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:29:37.506194 2016] [:error] [pid 26955] [client 172.16.0.1:41423] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:31:15.849841 2016] [:error] [pid 26614] [client 172.16.0.1:4666] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:31:45.586047 2016] [:error] [pid 26738] [client 172.16.0.1:13347] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:32:02.871304 2016] [:error] [pid 31507] [client 172.16.0.1:34583] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:32:58.381925 2016] [:error] [pid 26598] [client 172.16.0.1:3806] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:34:14.300485 2016] [:error] [pid 29716] [client 172.16.0.1:29047] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 48, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:35:28.054611 2016] [:error] [pid 29716] [client 172.16.0.1:54236] PHP Fatal error:  Call to a member function validatePassword() on boolean in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:37:24.617545 2016] [:error] [pid 26598] [client 172.16.0.1:63966] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:38:47.460434 2016] [:error] [pid 29716] [client 172.16.0.1:14295] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:39:20.157225 2016] [:error] [pid 26555] [client 172.16.0.1:39348] PHP Fatal error:  Call to a member function validatePassword() on integer in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 47, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 14:52:44.593259 2016] [:error] [pid 10910] [client 172.16.0.1:19394] PHP Fatal error:  Call to undefined function app\\models\\findOne() in /var/www-public/testyii.54mbit.pp.ua/models/Accounts.php on line 22, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 15:23:36.893417 2016] [:error] [pid 5363] [client 172.16.0.1:55364] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 75, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 15:23:56.424299 2016] [:error] [pid 6264] [client 172.16.0.1:2796] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 75, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 15:24:12.700341 2016] [:error] [pid 5363] [client 172.16.0.1:37892] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 75, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 15:31:02.512994 2016] [:error] [pid 6370] [client 172.16.0.1:36202] PHP Fatal error:  Call to undefined method app\\models\\Accounts::getUser() in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 65, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 15:31:56.493813 2016] [:error] [pid 15881] [client 172.16.0.1:39876] PHP Fatal error:  Call to undefined method app\\models\\Accounts::getUser() in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 65, referer: http://testyii.54mbit.pp.ua/site/login
